BREAK DATE,BREAK YEAR,X COORD,Y COORD
3/9/1990,1990,326626.796,4845670.742
3/9/1990,1990,310871.626,4844642.218
3/9/1990,1990,300769.402,4839908.296
3/9/1990,1990,301434.440,4829493.756
3/9/1990,1990,310262.717,4839481.937
3/9/1990,1990,310130.495,4844562.968
3/10/1990,1990,326538.372,4843609.177
3/10/1990,1990,325213.539,4843347.514
3/10/1990,1990,315733.104,4833759.668
3/10/1990,1990,313710.906,4845382.195
3/10/1990,1990,297896.609,4833958.857
3/10/1990,1990,299310.911,4836689.712
3/10/1990,1990,301867.525,4836126.939
3/10/1990,1990,326221.140,4843511.402
3/11/1990,1990,318931.697,4846100.567
3/11/1990,1990,304037.855,4846289.263
3/11/1990,1990,319447.718,4842675.365
3/11/1990,1990,308870.766,4833005.698
3/11/1990,1990,317789.520,4846287.439
3/11/1990,1990,313065.048,4846177.689
3/11/1990,1990,310047.113,4833962.815
3/11/1990,1990,315398.451,4839779.171
3/12/1990,1990,326593.456,4842719.054
3/12/1990,1990,298468.174,4834940.676
3/12/1990,1990,313168.425,4850210.782
3/12/1990,1990,320853.601,4843850.927
3/12/1990,1990,319246.445,4848220.185
3/13/1990,1990,299412.813,4841065.396
3/13/1990,1990,324045.469,4840859.286
3/13/1990,1990,309619.200,4842360.700
3/13/1990,1990,322160.566,4838214.722
3/13/1990,1990,314681.061,4842623.904
3/13/1990,1990,315422.351,4846912.627
3/13/1990,1990,301871.181,4841810.010
3/13/1990,1990,322425.287,4846582.524
3/13/1990,1990,314576.472,4846497.331
3/13/1990,1990,326905.853,4846938.548
3/13/1990,1990,302676.983,4834666.535
3/13/1990,1990,323383.809,4844144.829
3/14/1990,1990,300782.911,4833940.197
3/14/1990,1990,325589.791,4842562.498
3/14/1990,1990,317864.838,4849715.297
3/15/1990,1990,301328.221,4829849.797
3/15/1990,1990,327952.572,4848170.682
3/15/1990,1990,308725.138,4836320.420
3/15/1990,1990,304348.556,4831899.791
3/16/1990,1990,310646.691,4835249.094
3/16/1990,1990,303561.948,4832549.683
3/16/1990,1990,316068.504,4850134.855
3/16/1990,1990,301399.335,4836413.134
3/16/1990,1990,309283.162,4844609.756
3/17/1990,1990,315569.634,4840579.505
3/17/1990,1990,301913.657,4847828.857
3/19/1990,1990,298936.164,4843474.687
3/19/1990,1990,316383.832,4849286.079
3/19/1990,1990,320493.191,4843196.245
3/20/1990,1990,305535.035,4832584.937
3/21/1990,1990,307817.266,4846637.118
3/21/1990,1990,320481.707,4843234.643
3/21/1990,1990,310356.767,4843127.646
3/21/1990,1990,314907.114,4834227.115
3/22/1990,1990,301662.230,4835129.875
3/23/1990,1990,308920.612,4846906.745
3/23/1990,1990,322856.307,4841337.965
3/23/1990,1990,315036.279,4839197.664
3/24/1990,1990,312870.287,4848388.358
3/24/1990,1990,318853.265,4846431.372
3/26/1990,1990,305483.416,4832569.551
3/27/1990,1990,314925.763,4850869.674
3/28/1990,1990,298090.607,4842210.226
3/29/1990,1990,312375.943,4847238.766
3/30/1990,1990,302623.433,4839327.461
3/31/1990,1990,323243.638,4839066.947
4/1/1990,1990,319807.090,4846895.581
4/2/1990,1990,304975.429,4840186.883
4/3/1990,1990,298681.518,4833897.956
4/3/1990,1990,300131.770,4842191.670
4/3/1990,1990,318439.591,4846878.284
4/3/1990,1990,314484.703,4847227.489
4/6/1990,1990,295134.822,4844942.810
4/6/1990,1990,315565.399,4834241.307
4/6/1990,1990,299256.684,4844108.260
4/7/1990,1990,294656.897,4845048.096
4/7/1990,1990,302240.510,4828272.743
4/8/1990,1990,301632.024,4844710.664
4/9/1990,1990,296515.955,4845211.568
4/9/1990,1990,319925.384,4851325.336
4/10/1990,1990,331523.260,4847657.926
4/10/1990,1990,313018.058,4847436.158
4/10/1990,1990,316855.694,4845720.674
4/10/1990,1990,300191.930,4835486.493
4/11/1990,1990,315934.488,4840763.102
4/11/1990,1990,330363.450,4845875.750
4/12/1990,1990,327125.148,4844747.743
4/13/1990,1990,332879.619,4848177.711
4/13/1990,1990,300667.570,4842364.578
4/14/1990,1990,320617.710,4844998.767
4/14/1990,1990,320151.387,4846394.554
4/14/1990,1990,320020.068,4846533.203
4/15/1990,1990,311875.174,4844054.328
4/15/1990,1990,322590.636,4837828.204
4/15/1990,1990,300381.093,4838432.534
4/15/1990,1990,309544.210,4833100.458
4/16/1990,1990,303561.755,4832550.323
4/16/1990,1990,303104.688,4846934.220
4/16/1990,1990,302203.144,4829401.634
4/17/1990,1990,302751.560,4846502.027
4/17/1990,1990,302874.454,4840792.190
4/18/1990,1990,308645.349,4849289.522
4/18/1990,1990,301427.643,4839846.115
4/20/1990,1990,325277.141,4844139.023
4/23/1990,1990,305367.656,4843679.804
4/23/1990,1990,311835.094,4839002.889
4/23/1990,1990,306015.375,4831442.794
4/24/1990,1990,317223.646,4846555.538
4/24/1990,1990,299880.401,4842003.551
